["port 1","LEFT"]
["port 3","RIGHT"]
["port 5","RIGHT"]
["port 4","RIGHT"]
["port 6","RIGHT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(45, 3)
1.9234278436862062e+14 4.2847872666611081e-01 2.5003839497699154e+00
1.9244099718433150e+14 4.2868089027581113e-01 2.8281621684866285e+00
1.9253931034885419e+14 4.2849078295535126e-01 3.1572046885826759e+00
1.9263772401606428e+14 4.2743160898465071e-01 3.4866818633351722e+00
1.9273623834015197e+14 4.2514591870869028e-01 3.8162762436184297e+00
1.9283485347562316e+14 4.2091962763876167e-01 4.1444695027033331e+00
1.9293356957730000e+14 4.1318606147562104e-01 4.4639070058113131e+00
1.9303238680032197e+14 4.1377910085536157e-01 4.7587547007533528e+00
1.9313130530014641e+14 4.2053302174941043e-01 5.0773886555402701e+00
1.9323032523254962e+14 4.2665292697667268e-01 5.4057297225219072e+00
1.9332944675362744e+14 4.3036370767771637e-01 5.7410467036741002e+00
1.9342867001979619e+14 4.3139695782792326e-01 6.0773698179492239e+00
1.9352799518779344e+14 4.3094600578617281e-01 6.4127657792172075e+00
1.9362742241467891e+14 4.2923866851501780e-01 6.7470005904156780e+00
1.9372695185783522e+14 4.2733366426110636e-01 7.0808642014428091e+00
1.9382658367496878e+14 4.2457638708908457e-01 7.4159236371129467e+00
1.9392631802411056e+14 4.1884959398917998e-01 7.7530208674410002e+00
1.9402615506361700e+14 4.0327239384990965e-01 8.0731092870779406e+00
1.9412609495217072e+14 4.0439654986221307e-01 8.3616487418884269e+00
1.9422613784878159e+14 4.1788925719761849e-01 8.6759285396902595e+00
1.9432628391278728e+14 4.2599022412636484e-01 9.0157512730273126e+00
1.9442653330385438e+14 4.2842170051345640e-01 9.3582284553150217e+00
1.9452688618197906e+14 4.2851065798542298e-01 9.6985679739378892e+00
1.9462734270748803e+14 4.2752765599861248e-01 1.0037607422017903e+01
1.9472790304103928e+14 4.2575410589939028e-01 1.0376047434292659e+01
1.9482856734362309e+14 4.2323399938062617e-01 1.0714419455274873e+01
1.9492933577656275e+14 4.1937540628132397e-01 1.1053889698954544e+01
1.9503020850151547e+14 4.1151096697260331e-01 1.1392918087739199e+01
1.9513118568047338e+14 3.9636702697301074e-01 1.1717438973827942e+01
1.9523226747576409e+14 4.0649983056216193e-01 1.1991020112393038e+01
1.9533345405005184e+14 4.1667433564165857e-01 1.2328785696752304e+01
1.9543474556633825e+14 4.2044254231921768e-01 1.2673228893556463e+01
1.9553614218796325e+14 4.2151746379889343e-01 1.3015955492294415e+01
1.9563764407860584e+14 4.2176412095126159e-01 1.3357774428232833e+01
1.9573925140228519e+14 4.2160414585416434e-01 1.3696873575474891e+01
1.9584096432336128e+14 4.2082024350606750e-01 1.4034880025612036e+01
1.9594278300653594e+14 4.1828145863147559e-01 1.4376994415811390e+01
("port 2","mode 1",1,"port 2",1,"transmission")
(45, 3)
1.9156067603833869e+14 4.8507471772125624e-02 -1.1907836389446884e+00
1.9165809156556488e+14 4.9845107015614627e-02 -7.3777670478504132e-01
1.9175560622183459e+14 5.3990860759526950e-02 -2.5162740875405493e-01
1.9185322015853397e+14 5.3150845991821745e-02 -3.3091566921072380e-01
1.9195093352735741e+14 5.8029719596942017e-02 1.4026247157518415e-01
1.9204874648030866e+14 5.3726231819531949e-02 1.4777897932878588e+00
1.9214665916970141e+14 6.2279462998741777e-02 2.2916468220309385e+00
1.9224467174816003e+14 5.9702882900658547e-02 3.0984540551331738e+00
1.9234278436862062e+14 5.3382008834580240e-02 3.7733334138563794e+00
1.9244099718433150e+14 4.9273296754499818e-02 4.3754058036447727e+00
1.9253931034885419e+14 4.6101864525730465e-02 4.9256214847233775e+00
1.9263772401606428e+14 4.3948797200710418e-02 5.4319574653737712e+00
1.9273623834015197e+14 4.3373044350420727e-02 5.9174454325747430e+00
1.9283485347562316e+14 4.4613400264923234e-02 6.3889131947834876e+00
1.9293356957730000e+14 4.8867806155492605e-02 6.8820560956069619e+00
1.9303238680032197e+14 5.2620433082939122e-02 7.3945592914204656e+00
1.9313130530014641e+14 5.8191199765207778e-02 7.9982389284162316e+00
1.9323032523254962e+14 5.6321803961622820e-02 8.6443025096466961e+00
1.9332944675362744e+14 4.8150283661862858e-02 9.1332647085556893e+00
1.9342867001979619e+14 4.4223559284021163e-02 9.4016919173840279e+00
1.9352799518779344e+14 4.9486997342129455e-02 9.5844096821565223e+00
1.9362742241467891e+14 6.5630138937662091e-02 9.8562550188441875e+00
1.9372695185783522e+14 7.0314388223291988e-02 1.0190533191671598e+01
1.9382658367496878e+14 6.3556543392605053e-02 1.0559831920678938e+01
1.9392631802411056e+14 5.2284452652197992e-02 1.0960214397006746e+01
1.9402615506361700e+14 4.6095612960938503e-02 1.1455763353347914e+01
